v1;preview;Titre;h3;Description;;Url Image
https://unbottled.co/products/duo-mini-corps-cheveux-et-la-recy-trousse;https:/67cm72yh66nko93n-32127058055.shopifypreview.com/products/duo-mini-corps-cheveux-et-la-recy-trousse?view=product-bundle;Duo Mini Corps & Cheveux et la Recy-Trousse;La Recy-Trousse;"Des bouteilles d’eau recyclées en trousse ? C’est possible et vous en avez une sous les yeux. Durable et imperméable, c’est l’éco-accessoire idéal pour emporter vos 2 mini produits partout avec vous. 
Une petite poche est prévue pour le mini Shampoing Tout Nu et l’autre côté peut accueillir le mini Gel Douche Sans Bouteille. 
Comme ça, pas de contact entre les 2 produits. Et grâce à sa petite pression, elle se transforme même en porte-savon. 
Eh oui, on pense à tout chez Unbottled 
"; ;Photo_rectangle_partie_recy-trousse.gif?v=1625067036
https://unbottled.co/products/duo-shampoing-cheveux-colores-apres-shampoing;https:/67cm72yh66nko93n-32127058055.shopifypreview.com/products/duo-shampoing-cheveux-colores-apres-shampoing?view=product-bundle;Duo Shampoing Cheveux Colorés & Après-Shampoing;Une routine capillaire 100% solide ;"Vous pouvez enfin passer au 100% solide pour toute votre routine capillaire. Choisissez parmi nos 5 shampoings tous nus en fonction de votre type de cheveux et complétez avec l’après-shampoing ! Faites même faire des économies en optant pour nos duos - elle est pas belle la vie ?

        
"; ;Une_routine_capillaire_100_solide.jpg?v=1675870691
https://unbottled.co/products/duo-shampoing-cheveux-gras-apres-shampoing;https:/67cm72yh66nko93n-32127058055.shopifypreview.com/products/duo-shampoing-cheveux-gras-apres-shampoing?view=product-bundle;Duo Shampoing Cheveux Gras & Après-Shampoing;Une routine capillaire 100% solide ;"Vous pouvez enfin passer au 100% solide pour toute votre routine capillaire. Choisissez parmi nos 5 shampoings tous nus en fonction de votre type de cheveux et complétez avec l’après-shampoing ! Faites même faire des économies en optant pour nos duos - elle est pas belle la vie ?

        
"; ;Une_routine_capillaire_100_solide.jpg?v=1675870691
https://unbottled.co/products/duo-shampoing-cheveux-secs-apres-shampoing;https:/67cm72yh66nko93n-32127058055.shopifypreview.com/products/duo-shampoing-cheveux-secs-apres-shampoing?view=product-bundle;Duo Shampoing Cheveux Secs & Après-Shampoing;Une routine capillaire 100% solide ;"Vous pouvez enfin passer au 100% solide pour toute votre routine capillaire. Choisissez parmi nos 5 shampoings tous nus en fonction de votre type de cheveux et complétez avec l’après-shampoing ! Faites même faire des économies en optant pour nos duos - elle est pas belle la vie ?

        
"; ;Une_routine_capillaire_100_solide.jpg?v=1675870691
https://unbottled.co/products/duo-shampoing-cuir-chevelu-sensible-apres-shampoing;https:/67cm72yh66nko93n-32127058055.shopifypreview.com/products/duo-shampoing-cuir-chevelu-sensible-apres-shampoing?view=product-bundle;Duo Shampoing Cuir Chevelu Sensible & Après-Shampoing;Une routine capillaire 100% solide ;"Vous pouvez enfin passer au 100% solide pour toute votre routine capillaire. Choisissez parmi nos 5 shampoings tous nus en fonction de votre type de cheveux et complétez avec l’après-shampoing ! Faites même faire des économies en optant pour nos duos - elle est pas belle la vie ?

        
"; ;Une_routine_capillaire_100_solide.jpg?v=1675870691
https://unbottled.co/products/duo-shampoing-tout-type-de-cheveux-apres-shampoing;https:/67cm72yh66nko93n-32127058055.shopifypreview.com/products/duo-shampoing-tout-type-de-cheveux-apres-shampoing?view=product-bundle;Duo Shampoing Tous Types de Cheveux & Après-Shampoing;Une routine capillaire 100% solide ;"Vous pouvez enfin passer au 100% solide pour toute votre routine capillaire. Choisissez parmi nos 5 shampoings tous nus en fonction de votre type de cheveux et complétez avec l’après-shampoing ! Faites même faire des économies en optant pour nos duos - elle est pas belle la vie ?

        
"; ;Une_routine_capillaire_100_solide.jpg?v=1675870691
https://unbottled.co/products/maxi-pack-famille-nombreuse-bebes-grands;https:/67cm72yh66nko93n-32127058055.shopifypreview.com/products/maxi-pack-famille-nombreuse-bebes-grands?view=product-bundle;Maxi Pack Famille Nombreuse - Bébés & Grands;Pour petits et grands;"Ne vous battez pas, il y en aura pour tout le monde. Y compris pour les enfants dès la naissance (si vous choisissez le savon neutre bébés et grands). Nos formules toutes douces et pH neutre conviennent à tous les types cheveux et de peaux, même sensibles. 
Ce pack vous simplifie la vie : les mêmes produits (ultra) sains et (super) moussants pour toute la famille. 
Un choix écologique, pratique et économique 
        
"; ;3._GIF_-_carre.gif?v=1612361863
https://unbottled.co/products/pack-famille;https:/67cm72yh66nko93n-32127058055.shopifypreview.com/products/pack-famille?view=product-bundle;Pack Famille;Pour petits et grands;"Ne vous battez pas, il y en aura pour tout le monde. Y compris pour les enfants dès la naissance (si vous choisissez le savon neutre bébés et grands). Nos formules toutes douces et pH neutre conviennent à tous les types cheveux et de peaux, même sensibles. 
Ce pack vous simplifie la vie : les mêmes produits (ultra) sains et (super) moussants pour toute la famille. 
Un choix écologique, pratique et économique 
        
"; ;3._GIF_-_carre.gif?v=1612361863
https://unbottled.co/products/pack-famille-deo;https:/67cm72yh66nko93n-32127058055.shopifypreview.com/products/pack-famille-deo?view=product-bundle;Pack Famille Déo;Pour petits et grands;"Ne vous battez pas, il y en aura pour tout le monde. Y compris pour les enfants dès la naissance (si vous choisissez le savon neutre bébés et grands). Nos formules toutes douces et pH neutre conviennent à tous les types cheveux et de peaux, même sensibles. 
Ce pack vous simplifie la vie : les mêmes produits (ultra) sains et (super) moussants pour toute la famille. 
Un choix écologique, pratique et économique 
        
"; ;3._GIF_-_carre.gif?v=1612361863
https://unbottled.co/products/pack-famille-nombreuse;https:/67cm72yh66nko93n-32127058055.shopifypreview.com/products/pack-famille-nombreuse?view=product-bundle;Pack Famille Nombreuse;Les super ingrédients;Toutes nos formules associent des huiles végétales à des ingrédients superfood, que vous avez sans doute plus l’habitude de trouver dans votre assiette que dans votre salle de bain. Alors ici, on vous explique pourquoi on les a choisis.; ;Photo_partie_ingredient.png?v=1591532553
https://unbottled.co/products/pack-gel-douche-abricot-intime-gommage;https:/67cm72yh66nko93n-32127058055.shopifypreview.com/products/pack-gel-douche-abricot-intime-gommage?view=product-bundle;Pack Gel Douche Abricot, Intime & Gommage;Les super ingrédients;Grâce à nos formules au pH physiologique, vous pouvez enfin dire adieu aux bouteilles en plastique . Passez au 100% solide pour nettoyer et exfolier votre peau en douceur, sans l’assécher. Elle vous dira merci, et la Mère Nature aussi.; ;no-image-2048-5e88c1b20e087fb7bbe9a3771824e743c244f437e4f8ba93bbf7b11b53f7824c_700x.gif
https://unbottled.co/products/pack-gel-douche-soin-intime-rasage;https:/67cm72yh66nko93n-32127058055.shopifypreview.com/products/pack-gel-douche-soin-intime-rasage?view=product-bundle;Pack Gel Douche, Soin Intime & Rasage;Les super ingrédients; Grâce à nos formules saines et sans savon vous pouvez enfin dire adieu aux bouteilles en plastique et aérosols. Passez au 100% solide sans faire de compromis sur l’efficacité en choisissant nos 2 Gels Douche Sans Bouteille (et sans savon), le soin lavant intime et le soin de rasage.; ;pas_de_jaloux_700x.jpg?v=1685381004
https://unbottled.co/products/trio-demaquillant-nettoyant-gommage-visage;https:/67cm72yh66nko93n-32127058055.shopifypreview.com/products/trio-demaquillant-nettoyant-gommage-visage?view=product-bundle;Pack Peau Parfaite;Le double nettoyage, kezako ? ;Saviez-vous que nettoyer votre peau sans la démaquiller revient à prendre une douche tout habillée ? Le double nettoyage consiste à d’abord vous démaquiller avec un produit à la texture grasse pour éliminer le maquillage, le sébum et la pollution. Puis à nettoyer votre peau avec un produit moussant pour la libérer des impuretés et toxines restantes.; ;Double_nettoyage.jpg?v=1666793553
https://unbottled.co/products/pack-routine-visage-complete;https:/67cm72yh66nko93n-32127058055.shopifypreview.com/products/pack-routine-visage-complete?view=product-bundle;Pack Routine Visage Complète;Les super ingrédients;C’est toujours un casse-tête de savoir dans quel ordre utiliser ses soins. 2 choses à retenir : on démaquille avant de nettoyer et on exfolie avant de masquer. Donc #1-Démaquillant #2-Nettoyant #3-Gommage #4-Masque. Easy non ?; ;Le_double_nettoyage_kezako_700x.jpg?v=1685381522
https://unbottled.co/products/gels-douche-x2-soin-lavant-intime;https:/67cm72yh66nko93n-32127058055.shopifypreview.com/products/gels-douche-x2-soin-lavant-intime?view=product-bundle;Trio de Gels Douche & Soin Intime;Une routine solide ultra-douce ;"Grâce à nos formules au pH physiologique, vous pouvez enfin dire adieu aux bouteilles en plastique de parapharmacie. 
Passez au 100% solide sans faire de compromis en choisissant entre nos 2 Gels Douche Sans Bouteille (et sans savon) et complétez avec le soin lavant intime. 
En optant pour nos duos, vous ferez même des économies – elle est pas belle la vie ? 

        
"; ;Partie_routine_solide_option_1.jpg?v=1648561981
https://unbottled.co/products/trio-de-maxi-gels-douche;https:/67cm72yh66nko93n-32127058055.shopifypreview.com/products/trio-de-maxi-gels-douche?view=product-bundle;Trio de Maxi Gels Douche;Break it yourself;"Vous pensiez qu’on vous proposait de vous laver avec un Toblerone ? C’est normal. Ce design inédit de 3 gels douche en 1 a été spécialement pensé pour les familles ou les fans inconditionnels. 
L’objectif : vous proposer un format généreux et économique mais aussi pratique. Plutôt qu’un gros pavé que vous n’auriez pas manqué de vous faire tomber sur le pied (en nous maudissant). "; ;3._GIF_-_carre.gif?v=1612361863
https://unbottled.co/products/trio-gels-douche-avoine-abricot-bebe;https:/67cm72yh66nko93n-32127058055.shopifypreview.com/products/trio-gels-douche-avoine-abricot-bebe?view=product-bundle;Trio Gels Douche Avoine, Abricot & Bébé;Les super ingrédients;"Ne vous battez pas, ces produits peuvent être utilisés par toute la famille dont les enfants à partir de 3 ans. Même les peaux sèches et sensibles y ont droit. Leurs parfums naturels et mixtes raviront les narines des petits comme des grands. Attention à ne pas les terminer, vous risqueriez de vous faire passer un savon à la maison.
        "; ;pas_de_jaloux_700x.jpg?v=1685381004
